preferredName_A	preferredName_B	sign	directed	score
RET	GDNF	2	0	0.999
RET	GDNF	2	0	0.999
RET	PLCG1	1	0	0.965
RET	PLCG1	1	0	0.965
EDN3	AVPR1A	2	0	0.951
EDN3	AVPR1A	2	0	0.951
GDNF	BDNF	1	1	0.95
RET	FRS2	2	0	0.93
RET	FRS2	2	0	0.93
EDN3	AVPR1B	2	0	0.927
EDN3	AVPR1B	2	0	0.927
RET	GRB2	1	0	0.926
BDNF	NGFR	1	0	0.926
RET	GRB2	1	0	0.926
RET	DOK5	1	0	0.916
RET	NCK1	2	0	0.916
RET	NCK1	2	0	0.916
RET	DOK5	1	0	0.916
DOK6	RET	1	0	0.915
SOS1	RET	1	0	0.915
BDNF	NTRK1	1	0	0.915
BDNF	NTRK2	1	0	0.915
SOS1	RET	1	0	0.915
RET	KRAS	1	0	0.914
RET	NRAS	1	0	0.914
RET	NRAS	1	0	0.914
RET	KRAS	1	0	0.914
PTPN11	RET	2	0	0.914
RET	PIK3R1	1	0	0.914
RET	PIK3R1	1	0	0.914
EDN3	HCRTR2	2	0	0.912
RET	SHC3	1	0	0.912
EDN3	NTSR2	2	0	0.912
EDN3	GHSR	2	0	0.912
EDN3	MCHR2	2	0	0.912
RET	SHC1	1	0	0.912
EDN3	FPR2	2	0	0.912
EDN3	EDNRB	2	0	0.912
EDN3	CCKBR	2	0	0.912
EDN3	EDNRA	2	0	0.912
EDN3	BDKRB1	2	0	0.912
EDN3	ADRA1A	2	0	0.912
EDN3	ADRA1A	2	0	0.912
EDN3	BRS3	2	0	0.912
EDN3	GPR39	2	0	0.912
EDN3	BRS3	2	0	0.912
EDN3	KISS1R	2	0	0.912
EDN3	LTB4R2	2	0	0.912
EDN3	NMBR	2	0	0.912
EDN3	UTS2R	2	0	0.912
EDN3	CCKBR	2	0	0.912
EDN3	BDKRB1	2	0	0.912
EDN3	LPAR1	2	0	0.912
EDN3	XCR1	2	0	0.912
GDNF	GFRA1	2	0	0.912
EDN3	HTR2A	2	0	0.912
EDN3	NPSR1	2	0	0.912
GAB1	RET	2	0	0.911
GFRA4	GDNF	2	0	0.911
GDNF	GFRA3	2	0	0.911
GFRA4	GDNF	2	0	0.911
GFRA1	RET	2	0	0.911
PIK3R3	RET	2	0	0.909
RASA1	RET	2	0	0.909
PIK3R2	RET	2	0	0.909
RET	PXN	2	1	0.909
BDNF	KRAS	1	0	0.907
EDN3	PROK2	2	0	0.907
BDNF	HRAS	1	0	0.907
GDNF	PIK3CB	2	0	0.907
EDN3	AVP	2	0	0.906
MAPK7	RET	2	0	0.906
BDNF	MAPK10	2	0	0.906
EDN3	AVP	2	0	0.906
NRTN	GDNF	2	0	0.905
EDN3	GNAQ	2	0	0.905
NRTN	GDNF	2	0	0.905
GFRA2	GDNF	2	0	0.905
RET	GFRA3	2	0	0.905
RET	GRB7	2	0	0.905
RET	GRB7	2	0	0.905
GFRA2	GDNF	2	0	0.905
RET	GRB10	2	0	0.905
EDN3	GNB3	2	0	0.905
RET	GRB10	2	0	0.905
RET	GFRA3	2	0	0.905
PIK3CB	RET	2	0	0.904
EDN3	LPAR4	2	0	0.904
BDNF	DOCK3	2	0	0.904
PIK3CA	RET	2	0	0.904
EDN3	EDN2	2	0	0.904
PIK3CD	RET	2	0	0.904
GDNF	PIK3CD	2	0	0.904
BDNF	PIK3CA	1	0	0.904
RET	RAP1A	2	1	0.904
GDNF	KRAS	2	0	0.904
EDN3	EDN2	2	0	0.904
GDNF	HRAS	1	0	0.904
EDN3	AGT	2	0	0.903
EDN3	AGT	2	0	0.903
BDNF	RIT1	2	0	0.902
RET	PDLIM7	2	0	0.902
GDNF	GAB1	2	0	0.902
BDNF	NRAS	1	0	0.902
BDNF	RIT2	2	0	0.902
GRB10	GDNF	2	0	0.902
EDN3	UTS2	2	0	0.902
RET	GFRA4	2	0	0.902
EDN3	PROK1	2	0	0.902
GDNF	PIK3CA	2	0	0.902
EDN3	GPR17	2	0	0.902
